REF_DATE,GEO,DGUID,Products_and_product_groups,VALUE
2012,Canada,2016A000011124,All-items,121.7
2012,Canada,2016A000011124,Rent,113.6
2012,Quebec,2016A000224,All-items,120.8
2012,Quebec,2016A000224,Rent,112.4
2012,Ontario,2016A000235,All-items,121.8
2012,Ontario,2016A000235,Rent,111.5
2013,Canada,2016A000011124,All-items,122.8
2013,Canada,2016A000011124,Rent,115.4
2013,Quebec,2016A000224,All-items,121.7
2013,Quebec,2016A000224,Rent,113.7
2013,Ontario,2016A000235,All-items,123.0
2013,Ontario,2016A000235,Rent,113.4
2014,Canada,2016A000011124,All-items,125.2
2014,Canada,2016A000011124,Rent,117.1
2014,Quebec,2016A000224,All-items,123.4
2014,Quebec,2016A000224,Rent,115.1
2014,Ontario,2016A000235,All-items,125.9
2014,Ontario,2016A000235,Rent,114.9
2015,Canada,2016A000011124,All-items,126.6
2015,Canada,2016A000011124,Rent,118.5
2015,Quebec,2016A000224,All-items,124.7
2015,Quebec,2016A000224,Rent,116.2
2015,Ontario,2016A000235,All-items,127.4
2015,Ontario,2016A000235,Rent,116.1
2016,Canada,2016A000011124,All-items,128.4
2016,Canada,2016A000011124,Rent,119.2
2016,Quebec,2016A000224,All-items,125.6
2016,Quebec,2016A000224,Rent,117.1
2016,Ontario,2016A000235,All-items,129.7
2016,Ontario,2016A000235,Rent,117.3
2017,Canada,2016A000011124,All-items,130.4
2017,Canada,2016A000011124,Rent,119.9
2017,Quebec,2016A000224,All-items,126.9
2017,Quebec,2016A000224,Rent,118.0
2017,Ontario,2016A000235,All-items,131.9
2017,Ontario,2016A000235,Rent,118.4
2018,Canada,2016A000011124,All-items,133.4
2018,Canada,2016A000011124,Rent,121.3
2018,Quebec,2016A000224,All-items,129.0
2018,Quebec,2016A000224,Rent,118.9
2018,Ontario,2016A000235,All-items,135.0
2018,Ontario,2016A000235,Rent,120.1
2019,Canada,2016A000011124,All-items,136.0
2019,Canada,2016A000011124,Rent,124.7
2019,Quebec,2016A000224,All-items,131.7
2019,Quebec,2016A000224,Rent,121.2
2019,Ontario,2016A000235,All-items,137.5
2019,Ontario,2016A000235,Rent,124.6
2020,Canada,2016A000011124,All-items,137.0
2020,Canada,2016A000011124,Rent,126.8
2020,Quebec,2016A000224,All-items,132.8
2020,Quebec,2016A000224,Rent,122.7
2020,Ontario,2016A000235,All-items,138.4
2020,Ontario,2016A000235,Rent,126.7
2021,Canada,2016A000011124,All-items,141.6
2021,Canada,2016A000011124,Rent,128.8
2021,Quebec,2016A000224,All-items,137.8
2021,Quebec,2016A000224,Rent,126.0
2021,Ontario,2016A000235,All-items,143.2
2021,Ontario,2016A000235,Rent,128.6
2022,Canada,2016A000011124,All-items,151.2
2022,Canada,2016A000011124,Rent,134.7
2022,Quebec,2016A000224,All-items,147.0
2022,Quebec,2016A000224,Rent,130.6
2022,Ontario,2016A000235,All-items,152.9
2022,Ontario,2016A000235,Rent,135.7
