REF_DATE,GEO,DGUID,Type_of_structure,Type_of_unit,VECTOR,COORDINATE,VALUE
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Bachelor units,v3822825,37.3.1,528.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,One bedroom units,v3822959,37.3.2,628.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Two bedroom units,v3823093,37.3.3,744.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Three bedroom units,v3823227,37.3.4,835.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Two bedroom units,v3823629,37.2.3,795.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Three bedroom units,v3823763,37.2.4,897.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Bachelor units,v3823897,37.1.1,528.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,One bedroom units,v3824031,37.1.2,628.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Two bedroom units,v3824165,37.1.3,743.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Three bedroom units,v3824299,37.1.4,834.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Bachelor units,v3824433,37.4.1,558.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,One bedroom units,v3824621,37.4.2,645.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Two bedroom units,v3824809,37.4.3,747.0
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Three bedroom units,v3824997,37.4.4,841.0
